"CarID","NameFirstPart","NameSecondPart","Year"
"dvp8r","Viper","GTS-R Team Oreca","99"
"dvpgn","Viper","GTS","0"
"dvprn","Viper","RT/10","0"
"efcon","Cougar","2.5i 24V","0"
"efe2n","RS200","Rally Car","86"
"efesr","Escort","Rally Car","0"
"effgn","Focus","Ghia 2.0i Zetec","0"
"effwr","Focus","Rally Car","99"
"effzn","Focus","1.8i Zetec","0"
"efkan","Ka","","0"
"efmon","Mondeo","Ghia X 2.5i 24V","0"
"efpun","Puma","1.7 Zetec-SE VCT","0"
"fcr8r","Xsara","Rally Car","0"
"fcs6n","Saxo","1.6i VTS","0"
"fcx3n","Xantia","3.0i V6 Exclusive","0"
"fcx8n","Xsara","1.8i 16V Exclusive","0"
"fp1rn","106","1.6 Rallye","0"
"fp1sn","106","1.6 S16","0"
"fp26n","106","1.6 S16","0"
"fp27n","206","S16","0"
"fp2wr","206","S16","0"
"fp2xr","206","Rally Car","0"
"fp36n","306","S16","0"
"fp46n","406","3.0 V6 Coupe","0"
"fp4tn","406","Sedan","0"
"fp4un","406","Sedan","0"
"frc2n","Clio","16V","0"
"frcsn","Clio Sport V6","","0"
"frf1n","Espace F1","","0"
"frl6n","Laguna","V6","0"
"frmgn","Megane","2.0 16V Coupe","0"
"frtwn","Twingo EV","","96"
"fv30n","Atlantique","300","0"
"fv4gn","Atlantique","400GT","0"
"fv60r","Atlantique","600 LM ","95"
"gaa3n","A3","","0"
"gaa4n","A4","2.8 quattro","0"
"gas3n","S3","","0"
"gas4n","S4","","0"
"gatlr","TT","LM Edition","0"
"gattn","TT","1.8T quattro","0"
"gb0cn","320Ci","","0"
"gb28n","328i","","0"
"gb2cn","323ti","Compact","0"
"gb52n","528i","","0"
"gb74n","740i","","0"
"gb84n","840Ci","","0"
"gbc3n","323Ci","","0"
"gbc8n","328Ci","","0"
"gm16n","A160","Avantgarde","0"
"gm20n","CLK","200 Sport","0"
"gm32n","CLK","320 Sport","0"
"gmc4n","AMG C 43","","0"
"gmd2r","-","-","0"
"gme5n","AMG E 55","","0"
"gmsln","SLK","230 Kompressor","0"
"goasn","Astra","SRi 2.0i 16V","0"
"gocdr","Calibra","Touring Car","0"
"gocon","Corsa","Sport 1.6i 16V","0"
"goiir","Tigra","Ice Race Car","98"
"gotin","Tigra","1.6i","0"
"goven","Vectra","GSi 2.5 V6","0"
"gv45n","Golf IV","2.3 V5","0"
"gv46n","Golf IV","V6","0"
"gv48n","Golf IV","GTI 1.8T","0"
"gv4gn","Golf IV","GTI","0"
"gvbgr","New Beetle","GT","0"
"gvlun","Lupo","1.4","0"
"gvnbn","New Beetle","GLS 2.0L","0"
"gvp6n","-","-","0"
"h-err","del Sol","LM Edition","0"
"h28cn","Accord","SiR-T(J) '98","98"
"h28wn","Accord","Wagon SiR(J) '98","98"
"h2a0n","Acura NSX"," '91","91"
"h2a2n","Acura NSX"," '97","97"
"h2acn","Accord","SiR-T(J) '97","97"
"h2ain","Acura Integra","GS-R","98"
"h2arn","Accord","Type-R","0"
"h2awn","Accord","Wagon 2300VTL(J) '97","97"
"h2ben","Beat","(J) '91","91"
"h2bfn","Beat","ver.F(J) '92","92"
"h2bzn","Beat","ver.Z(J) '94","94"
"h2cfn","Civic","Sedan","98"
"h2cnr","Mugen NSX","GT(J)","98"
"h2crn","Civic","Type R(J) '98","98"
"h2csn","Civic","3 Door Si","98"
"h2ign","Integra","SiR-G","0"
"h2irn","Integra","Type R 98 spec","0"
"h2l2r","S2000","GT1","0"
"h2l8n","Life","T(J) '98","98"
"h2lin","Life","T (J) '97","97"
"h2lon","Logo","TS(J) '98","98"
"h2m2n","Mugen CR-X II","(J)","0"
"h2man","Mugen Accord","SIR-T(J)","0"
"h2mbn","Mugen Beat","(J)","0"
"h2mcn","Mugen Civic","Type-R(J)","0"
"h2mdn","Mugen CR-X III","(J)","0"
"h2mfn","Mugen Ferio","(J)","0"
"h2min","Mugen Integra","Type-R(J)","0"
"h2mpn","Mugen Prelude","Type-S(J)","0"
"h2mwn","Mugen Accord","Wagon(J)","0"
"h2n1r","Mobil 1 NSX","GT(J) '99","99"
"h2ncr","Mugen NSX","GT(J) '99","99"
"h2nrr","Raybrig NSX","GT(J) '99","99"
"h2ntr","Takata NSX","GT(J) '99","99"
"h2prn","Prelude","","0"
"h2psn","Prelude","SiR S spec(J) '98","98"
"h2s2n","S2000","","99"
"h2scn","Spoon Civic","Type-R(J)","0"
"h2sin","Spoon Integra","Type-R(J)","0"
"h2ssn","Spoon S2000","(J)","0"
"h2ztn","Z","Turbo(J) '98","98"
"hacsn","Accord","Sedan '96","96"
"hacwn","Accord","Wagon '96","96"
"hairn","Acura Integra","Type R","98"
"hcfnn","Civic","Sedan '96","96"
"hcfon","Civic","Sedan '93","93"
"hcrxn","Civic CRX","Si '91","91"
"hcvnn","Civic","3 Door '95","95"
"hcvon","Civic","3 Door Si '93","93"
"hcvrn","Civic","Type R(J) '97","97"
"hdegn","del Sol","VGi(J) '95","95"
"hdeln","del Sol","S '93","93"
"hdern","del Sol","Si '93","93"
"hdesn","del Sol","SiR(J) '95","95"
"hiarn","Acura Integra","Type-R '95","95"
"hiasn","Acura Integra","GS-R '95","95"
"hinrn","Integra","Type R","0"
"hinsn","Integra","SiR-G","0"
"hnann","Acura NSX","Type S Zero(J)","97"
"hnarn","Acura NSX"," '93","93"
"hnasn","Acura NSX","Type S(J)","97"
"hnsbn","NSX ","","0"
"hnsnn","NSX ","Type S Zero","0"
"hnsrn","NSX","Type R '92","0"
"hnssn","NSX ","Type S","0"
"hnsxn","NSX"," '90","0"
"hpnen","Prelude"," '96","96"
"hpnvn","Prelude","Type-SH","96"
"hpren","Prelude","Si '93","93"
"hprvn","Prelude","VTEC '94","94"
"ia45n","145","2.0 Cloverleaf","98"
"ia54n","156","2.5 V6 24V","98"
"ia55n","155","2.0 TS 16V","98"
"ia56n","156","2.0 TS 16V","98"
"ia5dr","155","Touring Car","95"
"ia63n","166","3.0 V6 24V","98"
"ia65n","166","2.5 V6 24V","98"
"ia66n","166","2.0 TS 16V","98"
"iag4n","GTV","3.0 V6 24V","98"
"iag6n","GTV","2.0 TS 16V","98"
"iaspn","Spider","2.0 TS","98"
"ii50n","500","Sporting","98"
"ii60n","600(Seicento)","Sporting","0"
"iiban","Barchetta","","0"
"iictn","Coupe","2.0 20V Turbo","0"
"iio5n","500R","","75"
"iipun","Punto","GT","0"
"ildcn","Delta","HF Integrale Collezione","0"
"ilden","Delta","HF Integrale","0"
"ildvn","Delta","HF Integrale Evoluzione","0"
"ils4r","Delta","S4","85"
"ilstn","Stratos","","0"
"ily3n","Y","1.2 16V","0"
"io11n","Elise","111S","0"
"io13n","Elise","135","0"
"io19n","Elise","190","0"
"ioe9n","Elan","S2 '90","90"
"ioeln","Elise","","0"
"ioesn","Esprit","Sport 350","0"
"ioeun","Europa","","0"
"iogtn","Esprit","V8 GT","0"
"ioisr","Esprit","GT1","0"
"iolln","Elise","GT1","0"
"iomsn","MotorsportElise","","0"
"ios2n","Elan","S2 '64","64"
"ios4n","Elan","S4 Sprint '71","71"
"iosen","Esprit","V8 SE","0"
"k213n","m13(StageII)","(J)","0"
"k231n","M30","(GTS,J) '87","87"
"k232n","M30","(GTS-R,J) '91","91"
"k233n","Tommykaira R","(J) '95","95"
"k234n","Tommykaira R","(J) '99","99"
"k2z2n","ZZII","(J)","0"
"k2z3n","ZZIII","(J)","0"
"k2zzn","ZZ-S","Coupe(J)","0"
"ld6cn","DB6","","0"
"ld7cn","DB7","Coupe","0"
"ld7vn","DB7","Volante","0"
"ldvan","V8 Vantage","","0"
"m-tor","FTO","LM Edition","0"
"m2a5r","Lancer","Evolution V Rally Car '98","98"
"m2agn","Galant","VR-G(J) '99","99"
"m2aln","Galant","VR-4(J) '99","99"
"m2g2n","Lancer","Evolution II(J) '94","94"
"m2g4n","Galant","Super VR4(J) '98","98"
"m2g5n","Lancer","Evolution V GSR (J) '98","98"
"m2g6n","Lancer","Evolution VI GSR (J) '99","99"
"m2l4n","Legnum","Super VR4(J) '98","98"
"m2lgn","Legnum","VR-4 type-S(J) '97","97"
"m2lsn","Legnum","ST(J) '97","97"
"m2m5n","Mine's Lancer","Evolution V(J)","0"
"m2m7n","Mirage","Asti ZR(J) '97","97"
"m2m8n","Minica","Pj(J) '98","98"
"m2man","Mirage","Asti RX-R(J) '98","98"
"m2min","Mirage","Cyborg-ZR(J) '97","97"
"m2mon","Minica","Dangan ZZ(J) '90","90"
"m2mrn","3000GT","Twin Turbo MR(J)","99"
"m2ngn","Legnum","VR-4 type-S(J) '99","99"
"m2nsn","Legnum","ST(J) '99","99"
"m2p8n","Pajero Mini","Sport(J) '98","98"
"m2pjn","Pajero Mini","VR-II(J) '97","97"
"m2r5n","Lancer","Evolution V RS (J) '98","98"
"m2r6n","Lancer","Evolution VI RS (J) '99","99"
"m2srn","3000GT","SL","99"
"m2tfr","Taeivon FTO","GT(J) '99","99"
"m2tlr","3000GT","LM Edition '99","99"
"m2ttn","3000GT","VR-4  ","99"
"m2w5r","Lancer","Evolution V Rally Car '98","98"
"m2w6r","Lancer","Evolution VI Rally Car '99","99"
"mecln","Eclipse","GS-T","97"
"mftgn","FTO","GR(J) '97","97"
"mftnn","FTO","GP Version R(J) '97","97"
"mfton","FTO","GPX(J) '94","94"
"mftrn","FTO","GR(J) '94","94"
"mftxn","FTO","GPX(J) '97","97"
"mgagn","Galant","VR-G Touring(J) '96","96"
"mgaln","Galant","VR-4(J) '96","96"
"mgnon","3000GT","SL","97"
"mgntn","3000GT","VR-4 Turbo","97"
"mgoon","3000GT","(J) '92","92"
"mgotn","3000GT","VR-4   ","92"
"mgtlr","3000GT","LM Edition","0"
"mgtmn","3000GT","MR(J) '95","95"
"mgton","3000GT","SL","95"
"mgttn","3000GT","VR-4 Turbo","95"
"mlnnn","Lancer","EvolutionIV GSR(J) '96","96"
"mlnon","Lancer","EvolutionIII GSR(J) '95","95"
"mmgon","Mirage","Cyborg R(J) '92","92"
"mmgrn","Mirage","Asti RX(J) '96","96"
"n-00n","Nismo 400R","(J)","0"
"n-18n","Sileighty","(J)","0"
"n180n","240SX Fastback","Type X(J) '96","96"
"n18nn","240SX Fastback","Type X(J) '96","96"
"n18sn","240SX Fastback","Type S(J) '96","96"
"n230n","Skyline","2000 RS-X (DR30,J) '84","84"
"n231n","Skyline","GTS-R(R31,J) '87","87"
"n234n","Skyline","25GT Turbo(R34,J) '98","98"
"n239r","R390 GT1","LM Race Car '97","97"
"n23nn","R390 GT1","Road Car '97","97"
"n23sr","Skyline","Silhouette Foumula (R30)","0"
"n23zr","Nissan 300ZX","GT(J) '97","97"
"n240r","R390 GT1","LM Race Car '98","98"
"n24nn","R390 GT1","Road Car '98","98"
"n24pn","Nismo 400R","Preceiding Model(J)","0"
"n24rn","Skyline","GT-R(R34,J) '99","99"
"n24vn","Skyline","GT-R V-spec(R34,J) '99","99"
"n24zn","Datsun 240Z","240ZG(HS30,J) '71","71"
"n260n","Stagea","260RS Tuned by Nismo(J)","0"
"n270n","Nismo 270R","(J)","0"
"n271n","Skyline","GT-R(KPGC10,J) '71","71"
"n280n","Skyline 280","Type MR(J)","0"
"n284n","Stagea","25t RS Four V(J) '98","98"
"n28gn","Stagea","Autech Ver. 260RS (J) '98","98"
"n2cun","Cube","X(J) '98","98"
"n2d3r","R33 Drag GT-R","(J)","0"
"n2d8r","Drag 180SX","(J)","0"
"n2dsr","Daisin Silvia","GT(J) '99","99"
"n2g7r","Zexel Skyline","GT(J) '97","97"
"n2gcr","Calsonic GT-R","GT(J) '99","99"
"n2gkr","Kure R33","GT(J) '97","97"
"n2gpr","Pennzoil GT-R","GT(J) '99","99"
"n2gur","Unisia GT-R","GT(J) '99","99"
"n2gzr","Arta GT-R","GT(J) '99","99"
"n2ksn","240SX","K's Aero(J) '98","98"
"n2m2n","Mine's R32.5","Skyline GT-R(J)","0"
"n2m3n","Mine's R33","Skyline GT-R(J)","0"
"n2m4n","Mine's R34","Skyline GT-R(J)","0"
"n2man","March","G#(J) '97","97"
"n2mtn","March","Super Turbo(J) '89","89"
"n2p1n","Pulsar Serie","VZ-R N1(J) '97","97"
"n2p2n","Infiniti G20","2.0Te-V(J) '98","98"
"n2pvn","Pulsar Serie","VZ-R(J) '97","97"
"n2pwn","Primera Wagon","2.0G-V(J) '98","98"
"n2r4n","Skyline","GT-R 4Door(R33,J) '97","97"
"n2rnn","GT-R","4Door Tuned by Nismo(J)","0"
"n2rtn","300ZX","2by2 Twin Turbo(J) '98","98"
"n2s4n","Stagea","RS Four V(J) '97","97"
"n2sgn","Stagea","Autech Ver. 260RS (J) '97","97"
"n2skn","Silvia","Spec R(J) '99","99"
"n2snn","Sunny","VZ-R(J) '98","98"
"n2sqn","Silvia","Spec S(J) '99","99"
"n2stn","300ZX","2seater Twin Turbo(J) '98","98"
"n2sxn","Silvia","Spec R Aero(J) '99","99"
"n2syn","Silvia","Spec S Aero(J) '99","99"
"n2xsr","Zanavi Silvia","GT(J) '99","99"
"n2zrn","300ZX","Version R 2by2(J) '98","98"
"n2zsn","300ZX","Version S 2seater(J) '98","98"
"n432n","Skyline","GTS4(R32,J) '91","91"
"nax3n","300ZX","2-seater","95"
"naxsn","300ZX","Turbo","95"
"naxvn","300ZX","2+2 ","95"
"nl33n","NismoGT-R LM","Road Car(R33,J)","0"
"nm32n","Skyline","GTS25 Type S(R32,J) '91","91"
"nn32n","Skyline","GT-R NISMO(R32,J) '90","90"
"nplon","Pulsar","GTi-R(J) '91","91"
"nprin","Infiniti G20","2.0Te(J) '96","96"
"npron","Tommykaira","M20T4","91"
"nq13n","Silvia","Q's 1800cc (J) '88","88"
"nq14n","240SX","Q's (J) '95","95"
"nq15n","240SX","Q's Aero(J) '97","97"
"nq23n","Silvia","Q's 2000cc (J) '91","91"
"nr02n","Skyline","GT-R(R32,J) '89","89"
"nr32n","Skyline","GT-R(R32,J) '91","91"
"nr33n","Skyline","GT-R(R33,J) '95","95"
"nr34n","Skyline","GT-R(R33,J) '97","97"
"ns13n","Silvia","K's 1800cc (J) '88","88"
"ns14n","240SX","K's (J) '95","95"
"ns15n","240SX","K's Aero(J) '96","96"
"ns23n","Silvia","K's 2000cc (J) '91","91"
"nt32n","Skyline","GTS-t Type M(R32,J) '91","91"
"nt33n","Skyline","GTS25t Type M(R33,J) '96","96"
"nv12n","Skyline","GT-R Vspec(R32,J) '93","93"
"nv22n","Skyline","GT-R Vspec II(R32,J) '94","94"
"nv33n","Skyline","GT-R Vspec(R33,J) '95","95"
"nv34n","Skyline","GT-R Vspec(R33,J) '97","97"
"nzx2n","300ZX","2by2 Twin Turbo(J) '94","94"
"nzx3n","300ZX","2-seater","95"
"nzxsn","300ZX","Turbo","95"
"nzxvn","300ZX","2+2 ","95"
"q2m2n","Move","SR-XX(2WD,J) '97","97"
"q2m4n","Move","SR-XX(4WD,J) '97","97"
"q2m8n","Move","SR-XX(4WD,J) '98","98"
"q2mcn","Move Custom","(4WD,J) '98","98"
"q2min","Midget II","D-type(J)","0"
"q2mon","Mira","TR-XX(J) '90","90"
"q2mvn","Move","CX(J) '95","95"
"q2o4n","Opti","Club Sport(4WD,J) '97","97"
"q2oen","Opti","Aerodown Beex(4WD,J) '98","98"
"q2opn","Opti","Club Sport(2WD,J) '97","97"
"q2s4n","Storia","CX(4WD,J) '98","98"
"q2sgr","Storia","Rally Car","0"
"q2stn","Storia","CX(2WD,J) '98","98"
"q2ten","Terios Kid","Aerodown(J) '98","98"
"q2trn","Mira","TR(4WD,J) '98","98"
"q2txn","Mira","TX(4WD,J) '98","98"
"q2x4n","Storia","X4(J) '98","98"
"s222n","Impreza","22B STi Version(J) '98","98"
"s236n","Subaru 360","","69"
"s2a6n","Impreza","typeRA STi Ver.VI(J)'99","99"
"s2cir","Cusco Impreza","GT(J) '99","99"
"s2fon","Forester","S/tb(J) '97","97"
"s2i4n","Impreza","Sedan STi Ver.IV(J)'97","97"
"s2i5n","Impreza","Sedan STi Ver.V(J)'98","98"
"s2i6n","Impreza","Sedan STi Ver. VI(J) '99","99"
"s2irr","Impreza","Rally Car(J) '99","99"
"s2iwn","Impreza","Sedan(J)'97","97"
"s2lbn","Legacy","Wagon GT-B(J) '97","97"
"s2lgn","Legacy B4","RSK(J) '98","98"
"s2lwn","Legacy","Wagon GT-B(J) '98","98"
"s2nin","Impreza","Sedan (J)'98","98"
"s2nwn","Impreza","Wagon (J)'98","98"
"s2pmn","Pleo","RM(J) '98","98"
"s2psn","Pleo","RS(J) '98","98"
"s2r4n","Impreza","typeR  STi Ver.IV(J)'97","97"
"s2r5n","Impreza","typeR STi Ver.V(J)'98","98"
"s2r6n","Impreza","typeR STi Ver.VI(J)'99","99"
"s2v4n","Vivio","RX-RA(J) '97","97"
"s2vin","Vivio","RX-R(J) '97","97"
"s2w4n","Impreza","Wagon STi Ver.IV(J)'97","97"
"s2w5n","Impreza","Wagon STi Ver.V (J)'98","98"
"s2w6n","Impreza","Wagon STi Ver.VI (J) '99","99"
"s2wwn","Impreza","Wagon(J)'97","97"
"sipan","Impreza","Sedan WRX(J) '96","96"
"sipbn","Impreza","Sedan STi versionIII(J) '96","96"
"sipcn","Impreza","Wagon (J) '96","96"
"sipdn","Impreza","Wagon STi versionIII(J)'96","96"
"siprn","Impreza","typeR STi Ver.(J) '96","96"
"sipsn","Impreza","Sedan STi versionII(J)'95","95"
"siptn","Impreza","Wagon STi versionII(J)'95","95"
"sipwn","Impreza","Wagon(J)'94","94"
"sipxr","Impreza","Rally Car","0"
"sipzn","Impreza","Sedan(J)'94","94"
"slgan","Legacy","Wagon GT-B(J) '96","96"
"slgbn","Legacy","Sedan RS(J) '96","96"
"slgnn","Legacy","Sports RS(J) '93","93"
"slgwn","Legacy","Wagon GT(J) '93","93"
"ssv4n","SVX","S4(J) '95","95"
"ssvxn","SVX","Lsi '95","95"
"t-rdn","TRD3000GT","(J)","0"
"t211n","MR2","1600G-Limited(J) '86","86"
"t22dn","TRD2000GT","(J)","0"
"t22gn","2000GT","GT '68","0"
"t22hn","2000GT","GT '68","68"
"t261n","Starlet","3 Door Turbo S(J) '82","82"
"t271n","Starlet","3 Door Turbo S(J) '87","87"
"t285n","Celica","GT-Four(J) '88","88"
"t286r","BP Trueno","GT(J) '99","99"
"t291n","Altezza","RS200(J) '98","98"
"t292n","Lexus IS","","0"
"t29lr","Altezza","LM Edition","0"
"t29nn","Altezza","280T(Tuned by Tom's,J)","0"
"t2a1n","Aristo","3.0V(J) '91","91"
"t2a3n","Aristo","V300(J) '97","97"
"t2c3n","Celica"," '97","97"
"t2c4n","Celica","GT-Four(J) '91","91"
"t2can","Caldina","GT-T(J) '97","97"
"t2cdn","XYR"," '99","99"
"t2cen","Celica","Elegant Version(J) '99","99"
"t2clr","Celica","Rally Car","0"
"t2cmn","Celica","Mecanical Version(J) '99","99"
"t2con","Celica","GT-R(J) '91","91"
"t2crn","Celica","GT-Four RC(J) '91","91"
"t2cwr","Corolla","Rally Car '97","97"
"t2cxr","Corolla","Rally Car '98","98"
"t2cyn","Celica","SS-II(J) '99","99"
"t2g1n","GT-ONE","Road Car '98","98"
"t2g8r","GT-ONE","Race Car '98","98"
"t2g9r","GT-ONE","Race Car '99","99"
"t2h8r","GT-ONE","Race Car '98","98"
"t2h9r","GT-ONE","Race Car '99","99"
"t2isn","Lexus IS 200","","0"
"t2lgn","Lexus GS 400","","0"
"t2lsn","Lexus SC 400","","0"
"t2lvn","Levin","BZR(J) '98","98"
"t2m2n","MR2","GT-S(J) '98","98"
"t2mgn","MR2","G-Limited(J) '98","98"
"t2mmr","Momo MR2","GT(J) '99","99"
"t2msn","MR-S","S Edition(J) '99","99"
"t2mtn","MR-S","Show Version(J) '97","97"
"t2o3n","Lexus SC 300","","96"
"t2prn","PRIUS","(J) '97","97"
"t2s3n","Lexus GS 300","","97"
"t2scr","Castrol Supra","GT(J) '99","99"
"t2sdr","Denso Supra","GT(J) '99","99"
"t2sor","Cerumo Supra","GT(J) '99","99"
"t2spn","MR Spider","(J) '96","96"
"t2srn","Supra","SZ-R(J) '97","97"
"t2ssn","Supra","RZ(J) '97","97"
"t2svn","Starlet","Glanza V(J) '98","98"
"t2t1n","Tom's T111","(J)","0"
"t2t2n","Tom's T020","(J)","0"
"t2t8n","Tom's Supra","(J)","0"
"t2tan","Angel T01","(J)","0"
"t2trn","Trueno","BZR(J) '98","98"
"t2vzn","Vitz","F(J) '99","99"
"t2wsr","Weds Celica","GT(J) '99","99"
"t2x3n","Chaser","TRD Sports X30(J)","0"
"t2xxn","Celica"," '84","84"
"tcegn","Celica","GT-Four(J) '95","95"
"tceln","Celica"," '96","95"
"tchsn","Chaser","Tourer S(J) '96","96"
"tchvn","Chaser","Tourer V(J) '96","96"
"texvn","Corona Exiv","200GT(J) '96","96"
"tlevn","Levin","BZG(J) '96","96"
"tlv1n","Levin","GT-APEX(TypeII,J) '85","85"
"tlvon","Levin","GT-APEX(TypeI,J) '83","83"
"tm2sn","Mark II","Tourer S(J) '92","92"
"tm2vn","Mark II","Tourer V(J) '92","92"
"tmr2n","MR2","GT-S(J) '96","96"
"tmrln","MR2","G-Limited(J) '96","96"
"tsgtn","Supra","(Turbo) '93","93"
"tsoan","Soarer","2.5GT-T VVT-i(J) '96","96"
"tsonn","Supra","(Turbo) '96","96"
"tsoon","Soarer","2.5GT-T(J) '95","95"
"tsorn","Supra"," '96","95"
"tsplr","Castrol Supra","GT(J) '96","96"
"tspnn","Supra","(Turbo) '97","97"
"tspon","Supra","Twinturbo-R(J) '91","91"
"tsprn","Supra"," '97","97"
"tstln","Starlet","Glanza V(J) '96","96"
"ttr1n","Trueno","GT-APEX(TypeII,J) '85","85"
"ttrnn","Trueno","BZG(J) '96","96"
"ttron","Trueno","GT-APEX(TypeI,J) '83","83"
"uc2dr","Chaparral 2D","","66"
"uf40n","GT40","","66"
"uf4lr","GT40","Race Car","69"
"uf90n","GT90","","0"
"ufc9n","Mustang","SVT Cobra  '99","99"
"ufcrn","Mustang","SVT Cobra  '98","98"
"ufm9n","Mustang","GT '99","99"
"ufmun","Mustang","GT '98","98"
"ufs9r","SR","Widebody","99"
"uftan","Taurus","SHO '99","99"
"ulcun","Cuda"," '70","70"
"ulgxn","GTX","","67"
"ulpsn","PT Spyder","","0"
"ulrrn","Muscle Car","","71"
"ulsbn","Superbird","","70"
"um67n","Cougar","XR-7 '67","67"
"umcon","Cougar"," '99","99"
"us35n","GT350"," '66","66"
"us36n","GT350"," '66","66"
"us50n","GT500"," '68","68"
"us51n","GT500"," '68","68"
"usccr","Cobra Coupe"," '65","65"
"uscon","Cobra","427 '67","67"
"uss1n","Series 1","","0"
"uv12n","M12","","0"
"uv2lr","M12","LM Edition","0"
"uvw8n","Wiegert Vector","W8 Twin Turbo","0"
"v-rbr","Cerbera","LM Edition","0"
"vc50n","Chimaera","5.0","0"
"vce5n","Cerbera","4.5","0"
"vch2n","Chimaera","4.0","0"
"vch5n","Chimaera","4.5","0"
"vcrbn","Cerbera","4.2","0"
"vcs6n","Cerbera","Speed 6","0"
"vgr5n","Griffith","500","0"
"vgrfn","Griffith","Blackpool B340(J)","0"
